name,dataset,D,d,bits,mode,rep,code_bytes,threads,overquery,build_s,qps,recall,visited,qps_cv,train_s,encode_s,nvq_s,provider_s,log
cap-1M-b4-pq-r2,cap-1M,1536,768,4,PQ,2,389,48,2.0,,70346.9921004846,0.93402,1029.0857,0.9724138237250509,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r2/query-48.log
cap-1M-b4-ash-r2,cap-1M,1536,768,4,ASH,2,389,1,1.0,218.04224412,2149.0023927609095,0.86566,708.1348,8.837725956246652,8.929087608,7.874196863,0.512352717,3.399143,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r2/query-1.log
cap-1M-b4-ash-r2,cap-1M,1536,768,4,ASH,2,389,1,2.0,218.04224412,1709.8616544967786,0.95445,1020.1297,2.1276746338547827,8.929087608,7.874196863,0.512352717,3.399143,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r2/query-1.log
cap-1M-b4-ash-r2,cap-1M,1536,768,4,ASH,2,389,48,1.0,,82541.79142378358,0.86566,708.1348,3.0493408284794836,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r2/query-48.log
cap-1M-b4-ash-r2,cap-1M,1536,768,4,ASH,2,389,48,2.0,,62660.6088961071,0.95445,1020.1297,0.6444089703901766,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r2/query-48.log
cohere-english-v3-1M-b2-pq-r2,cohere-english-v3-1M,1024,512,2,PQ,2,133,1,1.0,210.651240768,3554.791683888936,0.66659,824.1673,1.9970658008975664,5.380806686,3.888598589,0.374447596,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r2/query-1.log
cohere-english-v3-1M-b2-pq-r2,cohere-english-v3-1M,1024,512,2,PQ,2,133,1,2.0,210.651240768,2755.1301538763946,0.85658,1199.3812,3.764086183772186,5.380806686,3.888598589,0.374447596,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r2/query-1.log
cohere-english-v3-1M-b2-pq-r2,cohere-english-v3-1M,1024,512,2,PQ,2,133,48,1.0,,138379.5345558035,0.66659,824.1673,1.884179629700551,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r2/query-48.log
cohere-english-v3-1M-b2-pq-r2,cohere-english-v3-1M,1024,512,2,PQ,2,133,48,2.0,,108017.34345790854,0.85658,1199.3812,0.2428364162563542,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r2/query-48.log
cohere-english-v3-1M-b2-ash-r2,cohere-english-v3-1M,1024,512,2,ASH,2,133,1,1.0,155.626287523,3711.8325622709335,0.70446,891.4132,3.439385278420078,5.27452495,1.718166483,0.399741568,1.952495,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r2/query-1.log
cohere-english-v3-1M-b2-ash-r2,cohere-english-v3-1M,1024,512,2,ASH,2,133,1,2.0,155.626287523,3720.63426140302,0.88522,1327.2389,2.135700347945317,5.27452495,1.718166483,0.399741568,1.952495,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r2/query-1.log
cohere-english-v3-1M-b2-ash-r2,cohere-english-v3-1M,1024,512,2,ASH,2,133,48,1.0,,156862.83319312084,0.70446,891.4132,3.014477053063219,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r2/query-48.log
cohere-english-v3-1M-b2-ash-r2,cohere-english-v3-1M,1024,512,2,ASH,2,133,48,2.0,,110969.92932781803,0.88522,1327.2389,2.6712548800277496,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r2/query-48.log
